,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,Codrington,0,au,1535689130,57,-28.95,153.24,70.1,10.11
77,Thompson,75,ca,1535687460,87,55.74,-97.86,59.0,10.29
78,Outjo,0,na,1535689131,55,-20.11,16.16,47.78,3.06
79,Arman,75,ru,1535686200,63,59.7,150.17,64.4,13.42
80,Pevek,0,ru,1535689131,79,69.7,170.27,50.93,10.22
81,Saint-Philippe,1,ca,1535687700,98,45.36,-73.48,56.5,5.3
82,Lebu,75,et,1535684400,100,8.96,38.73,53.6,2.24
83,Kerchevskiy,44,ru,1535689132,85,59.95,56.29,47.15,4.63
84,Jalu,8,ly,1535689132,60,29.03,21.55,73.34,2.28
85,Porto Velho,0,br,1535688000,88,-8.75,-63.87,75.2,1.12
86,Saint-Augustin,0,fr,1535686200,87,44.83,-0.61,59.79,3.36
87,Yellowknife,40,ca,1535684400,76,62.45,-114.38,51.8,4.7
88,Pandan,76,ph,1535689134,99,11.72,122.09,83.87,6.53
89,Mecca,8,sa,1535688902,77,21.43,39.83,71.81,3.18
90,Hobart,75,au,1535688000,66,-42.88,147.33,53.6,6.93
91,Imeni Poliny Osipenko,64,ru,1535689134,73,52.42,136.49,60.92,13.8
92,Ribeira Grande,68,pt,1535689135,100,38.52,-28.7,74.33,13.69
93,Poum,0,mk,1535686200,82,41.28,20.71,60.8,3.36
94,Missoula,20,us,1535683980,39,46.87,-114.0,62.96,9.17
95,New Norfolk,75,au,1535688000,66,-42.78,147.06,53.6,6.93
96,Preobrazheniye,80,ru,1535689136,95,42.9,133.91,66.14,1.39
97,Khatanga,36,ru,1535689136,64,71.98,102.47,38.69,15.7
98,Ahipara,92,nz,1535689137,100,-35.17,173.16,53.81,11.68
99,Meulaboh,8,id,1535689137,100,4.14,96.13,81.17,2.95
100,Kendari,44,id,1535689137,54,-3.99,122.52,88.82,4.07
101,Makat,0,kz,1535689138,47,47.65,53.35,59.66,2.84
102,Nantucket,90,us,1535686980,87,41.28,-70.1,70.59,11.41
103,Suez,0,eg,1535689138,91,29.97,32.54,71.09,2.95
104,Igarka,0,ru,1535689138,70,67.47,86.57,42.38,24.09
105,Hermanus,24,za,1535689139,90,-34.42,19.24,41.03,2.17
106,Nizhniy Kuranakh,8,ru,1535689139,76,58.84,125.49,65.15,3.62
107,Butaritari,68,ki,1535689139,100,3.07,172.79,81.98,2.28
108,Rome,0,it,1535685600,82,41.89,12.48,69.42,4.7
109,Inzer,88,ru,1535689140,81,54.22,57.56,53.0,5.41
110,Santa Rosa,80,ar,1535689141,37,-36.62,-64.29,48.23,10.45
111,Airai,44,id,1535689141,70,-8.93,125.41,79.28,1.95
112,Port Blair,92,in,1535689142,100,11.67,92.75,77.3,15.03
113,Gusino,12,ru,1535689142,87,54.72,31.37,50.57,2.84
114,Katangli,92,ru,1535689142,99,51.71,143.23,52.1,18.84
115,Westport,12,ie,1535688938,100,53.8,-9.52,52.19,13.35
116,Rauma,88,fi,1535687400,93,61.13,21.5,51.8,6.08
117,Barrow,68,ar,1535689143,59,-38.31,-60.23,43.73,9.78
118,Cruz Grande,20,mx,1535687400,83,16.72,-99.13,82.4,2.24
119,Ambon,0,fr,1535686200,93,47.55,-2.56,53.6,4.7
120,Severo-Kurilsk,36,ru,1535689144,92,50.68,156.12,53.27,8.1
121,Bandarbeyla,0,so,1535689144,83,9.49,50.81,73.7,28.01
122,Cockburn Town,100,tc,1535689144,99,21.46,-71.14,82.7,22.97
123,Murgab,0,tm,1535688000,37,37.5,61.97,68.0,4.7
124,Fort Nelson,75,ca,1535684400,71,58.81,-122.69,55.4,3.36
125,Mar del Plata,0,ar,1535689145,100,-46.43,-67.52,28.97,4.18
126,Irtyshskiy,0,ru,1535689146,77,58.33,68.13,49.04,10.78
127,Bulgan,8,mn,1535689146,85,48.81,103.53,63.44,8.43
128,Fortuna,0,es,1535686200,88,38.18,-1.13,74.3,2.24
129,Yulara,0,au,1535688000,32,-25.24,130.99,69.8,6.93
130,Iqaluit,75,ca,1535684400,97,63.75,-68.52,37.4,4.7
131,Arraial do Cabo,12,br,1535689147,95,-22.97,-42.02,69.83,18.05
132,Guerrero,0,ar,1535688000,45,-24.19,-65.45,64.4,5.82
133,Pisco,0,pe,1535688000,87,-13.71,-76.2,57.2,3.36
134,Nouadhibou,44,mr,1535684400,73,20.93,-17.03,73.4,8.05
135,Atbasar,88,kz,1535689148,97,51.81,68.36,55.97,12.68
136,Bredasdorp,92,za,1535684400,93,-34.53,20.04,55.4,4.7
137,Fatehabad,80,in,1535689149,100,27.03,78.3,77.75,6.08
138,Aitape,36,pg,1535689149,87,-3.15,142.36,83.33,3.4
139,Qaanaaq,0,gl,1535689149,100,77.48,-69.36,30.41,2.73
140,Clyde River,1,ca,1535684400,100,70.47,-68.59,32.0,6.93
141,Itarema,0,br,1535689150,77,-2.92,-39.92,78.29,14.92
142,Bethel,90,us,1535688420,89,60.79,-161.76,51.08,16.11
143,Cururupu,0,br,1535689151,90,-1.82,-44.87,77.03,5.97
144,Tuktoyaktuk,90,ca,1535685840,93,69.44,-133.03,35.6,13.87
145,Pudozh,20,ru,1535689151,90,61.81,36.54,60.2,11.45
146,Alofi,88,nu,1535688000,88,-19.06,-169.92,77.0,5.82
147,Caravelas,36,br,1535689152,100,-17.73,-39.27,75.5,12.12
148,Lagoa,0,pt,1535686200,69,37.14,-8.45,75.2,4.7
149,Hithadhoo,76,mv,1535689152,100,-0.6,73.08,83.42,3.62
150,Narsaq,0,gl,1535687400,52,60.91,-46.05,41.0,25.28
151,Nioro,92,gm,1535689153,99,13.79,-15.05,73.25,9.66
152,Rincon,75,us,1535687760,87,32.3,-81.24,74.8,5.64
153,Wukari,92,ng,1535689154,99,7.87,9.78,71.18,3.85
154,Dalbandin,0,pk,1535689154,21,28.9,64.41,70.19,3.18
155,Northam,44,gb,1535687400,81,51.04,-4.21,48.2,4.7
156,Esperance,20,tt,1535688000,94,10.24,-61.45,78.8,4.63
157,Yabelo,48,et,1535689155,73,4.89,38.09,63.08,5.64
158,Tasiilaq,92,gl,1535687400,75,65.61,-37.64,42.8,34.27
159,Kamenka,32,ru,1535689156,48,53.19,44.05,69.11,5.75
160,Takoradi,92,gh,1535689156,100,4.89,-1.75,75.77,7.65
161,Baykit,88,ru,1535689156,87,61.68,96.39,52.46,4.18
162,San Juan de los Morros,75,ve,1535684400,88,9.91,-67.35,73.4,1.83
163,Kavaratti,88,in,1535689100,97,10.57,72.64,81.98,15.48
164,Bathsheba,75,bb,1535688000,74,13.22,-59.52,82.4,18.34
165,Tripoli,0,gr,1535685600,68,37.51,22.37,64.4,1.61
166,Haines Junction,24,ca,1535689158,56,60.75,-137.51,46.97,6.08
167,Beringovskiy,0,ru,1535689158,84,63.05,179.32,55.97,14.47
168,Udachnyy,68,ru,1535689158,84,66.42,112.4,56.51,3.29
169,Cabo San Lucas,5,mx,1535686800,69,22.89,-109.91,82.4,4.7
170,Vila Franca do Campo,40,pt,1535686200,88,37.72,-25.43,73.4,8.05
171,Laguna,0,mx,1535689159,72,27.52,-110.01,84.77,2.51
172,Half Moon Bay,20,us,1535687760,77,37.46,-122.43,63.01,18.34
173,Cayenne,0,gf,1535688000,100,4.94,-52.33,75.2,7.09
174,Labuhan,20,id,1535689160,71,-2.54,115.51,85.13,3.4
175,Guane,32,cu,1535689160,97,22.2,-84.09,76.67,5.64
176,Kodiak,1,us,1535683980,86,39.95,-94.76,71.06,9.17
177,Isangel,0,vu,1535689161,100,-19.55,169.27,72.8,13.47
178,Tocopilla,64,cl,1535689161,100,-22.09,-70.2,53.9,5.75
179,Bluff,0,au,1535688908,29,-23.58,149.07,81.35,13.58
180,Puerto Baquerizo Moreno,88,ec,1535689162,100,-0.9,-89.6,70.01,12.12
181,Longyearbyen,75,sj,1535683800,86,78.22,15.63,39.2,34.45
182,Whitehorse,75,ca,1535688000,54,60.72,-135.06,55.4,16.11
183,Uaua,64,br,1535689163,73,-9.84,-39.48,69.29,13.35
184,Namatanai,48,pg,1535689076,100,-3.66,152.44,81.17,3.4
185,Denia,0,es,1535689163,100,38.84,0.11,75.77,4.97
186,Touros,68,br,1535689164,95,-5.2,-35.46,74.06,14.81
187,Natal,0,br,1535688000,83,-5.81,-35.21,71.6,8.05
188,East London,0,za,1535684400,25,-33.02,27.91,73.4,9.17
189,Homer,1,us,1535687580,71,59.64,-151.54,55.04,11.41
190,Alacranes,20,cu,1535687400,94,22.77,-81.57,78.8,8.05
191,Shelburne,20,ca,1535687280,100,44.08,-80.2,55.89,2.24
192,Tongliao,0,cn,1535689165,81,43.61,122.27,75.68,9.1
193,Dudinka,0,ru,1535689076,76,69.41,86.18,39.41,15.7
194,Mahebourg,40,mu,1535688000,73,-20.41,57.7,71.6,12.75
195,Straza,40,ro,1535686200,82,44.97,21.3,68.0,1.12
196,Nikolskoye,75,ru,1535686200,100,59.7,30.79,51.8,2.24
197,Vilhena,0,br,1535688580,89,-12.74,-60.15,70.28,2.28
198,Rawson,0,ar,1535689167,79,-43.3,-65.11,30.95,6.2
199,Palmer,90,us,1535687760,51,61.6,-149.11,59.49,13.87
200,Vardo,1,us,1535687700,93,39.62,-77.74,75.11,4.7
201,Klaksvik,80,fo,1535687400,93,62.23,-6.59,50.0,14.99
202,Ponta do Sol,0,br,1535689168,73,-20.63,-46.0,58.85,3.96
203,Yerbogachen,0,ru,1535689169,70,61.28,108.01,60.83,6.42
204,Richards Bay,0,za,1535689096,86,-28.77,32.06,58.4,8.32
205,Tevaitoa,0,pf,1535689169,100,-16.78,-151.5,77.66,27.34
206,Loreto,0,py,1535689170,41,-23.27,-57.32,83.15,12.01
207,Oriximina,8,br,1535689170,71,-1.77,-55.87,79.73,3.18
208,Birobidzhan,0,ru,1535689170,69,48.79,132.93,67.67,4.74
209,Mishan,8,cn,1535689171,83,45.55,131.88,68.03,10.45
210,Alta Floresta,0,br,1535684400,88,-9.87,-56.08,73.4,2.39
211,Los Llanos de Aridane,0,es,1535686200,73,28.66,-17.92,71.6,16.11
212,Jiexiu,88,cn,1535689171,78,37.02,111.92,71.99,5.75
213,Dwarka,75,in,1535686200,79,28.58,77.04,86.0,9.17
214,Mehamn,40,no,1535687400,71,71.03,27.85,50.0,29.97
215,Kodino,8,ru,1535689172,90,63.72,39.64,56.96,8.21
216,Kefalos,0,gr,1535685600,73,36.75,26.96,77.0,10.29
217,Quatre Cocos,40,mu,1535688000,73,-20.21,57.76,71.6,12.75
218,Aklavik,90,ca,1535684400,93,68.22,-135.01,39.2,12.75
219,Kokopo,44,pg,1535689174,100,-4.34,152.27,79.37,2.62
220,Iracoubo,0,gf,1535689174,81,5.48,-53.21,78.2,4.74
221,Iranshahr,0,ir,1535684400,12,27.21,60.69,87.8,3.51
222,Pak Phanang,20,th,1535688000,47,8.35,100.2,96.8,3.36
223,Plettenberg Bay,0,za,1535689175,97,-34.05,23.37,57.77,6.42
224,Port Hedland,0,au,1535688000,20,-20.31,118.58,82.4,10.29
225,Dolores,8,ar,1535689175,67,-36.31,-57.68,45.35,14.58
226,Savonlinna,90,fi,1535687400,93,61.87,28.88,59.0,3.36
227,Camacha,40,pt,1535686200,68,33.08,-16.33,70.83,19.46
228,Sisimiut,92,gl,1535689176,100,66.94,-53.67,32.48,3.74
229,Chapais,1,ca,1535684400,93,49.78,-74.86,39.2,2.06
230,Yatou,75,cm,1535684400,100,3.63,9.81,75.2,2.24
231,Salalah,90,om,1535687400,94,17.01,54.1,75.2,4.7
232,Vysotsk,90,ru,1535687400,100,60.63,28.57,55.4,1.12
233,Praia da Vitoria,40,pt,1535684400,88,38.73,-27.07,73.4,13.47
234,Simao,48,cn,1535689178,92,22.76,100.79,71.45,2.62
235,Ust-Nera,20,ru,1535689178,49,64.57,143.24,61.28,2.62
236,Keti Bandar,100,pk,1535689178,99,24.14,67.45,79.37,23.09
237,Dikson,92,ru,1535689093,100,73.51,80.55,44.63,18.72
238,Coquimbo,40,cl,1535688000,87,-29.95,-71.34,48.2,6.93
239,Krasnoborsk,0,ru,1535689179,68,61.56,45.93,50.12,7.87
240,Dongsheng,88,cn,1535689179,100,29.72,112.52,80.18,3.18
241,Havelock,1,us,1535684280,97,34.88,-76.9,77.94,6.93
242,Ponazyrevo,92,ru,1535689180,70,58.36,46.31,60.83,7.31
243,Yenagoa,92,ng,1535689180,96,4.92,6.26,72.8,5.3
244,Beira,0,es,1535686200,93,43.2,-8.36,57.2,2.24
245,Watsa,92,cd,1535689181,96,3.04,29.53,64.97,3.18
246,Hasaki,75,jp,1535688000,63,35.73,140.83,91.4,11.41
247,Emilio Carranza,24,mx,1535689182,97,19.97,-96.61,74.06,1.16
248,Deniliquin,88,au,1535689182,100,-35.53,144.96,55.07,16.26
249,Georgetown,0,gy,1535688000,94,6.8,-58.16,75.2,3.85
250,Krasnoarmeysk,36,ru,1535686200,93,56.12,38.15,59.0,4.47
251,Igrim,0,ru,1535689183,86,63.19,64.42,45.8,3.96
252,Saskylakh,64,ru,1535689183,85,71.97,114.09,40.4,21.07
253,Sabha,0,ly,1535689183,42,27.03,14.43,76.13,8.77
254,Talnakh,0,ru,1535689183,86,69.49,88.39,37.25,16.82
255,Beloha,0,mg,1535689184,86,-25.17,45.06,61.19,11.68
256,Maniitsoq,80,gl,1535689184,100,65.42,-52.9,37.79,23.53
257,Ust-Tsilma,0,ru,1535689184,86,65.44,52.15,43.37,3.62
258,Aykhal,88,ru,1535689185,97,65.95,111.51,54.35,3.96
259,Puerto Ayora,20,ec,1535689185,100,-0.74,-90.35,69.65,12.57
260,Valparaiso,1,us,1535687760,83,41.47,-87.06,58.37,4.7
261,Hede,92,se,1535685600,100,60.45,15.49,50.0,5.82
262,Alice Springs,0,au,1535688000,19,-23.7,133.88,69.8,10.29
263,Namibe,68,ao,1535688909,100,-15.19,12.15,63.44,6.53
264,Tadine,0,nc,1535689186,95,-21.55,167.88,71.27,10.89
265,Sambava,64,mg,1535689187,100,-14.27,50.17,72.17,19.51
266,Chuy,92,uy,1535689187,96,-33.69,-53.46,55.88,17.94
267,Flinders,0,au,1535688000,87,-34.58,150.85,53.6,17.22
268,Atar,44,mr,1535689188,89,20.52,-13.05,76.31,6.64
269,Anderson,1,us,1535687700,79,34.51,-82.65,75.27,5.82
270,Nemuro,75,jp,1535684400,78,43.32,145.57,75.2,10.29
271,Sechura,0,pe,1535689189,81,-5.56,-80.82,66.77,12.8
272,Kiunga,44,pg,1535689098,77,-6.12,141.3,83.06,2.95
273,Doha,0,qa,1535688000,71,25.29,51.53,93.2,6.93
274,Kon Tum,68,vn,1535689189,87,14.36,108.0,74.06,3.96
275,Manali,32,in,1535689190,77,32.25,77.19,35.9,1.16
276,Pitimbu,75,br,1535688000,100,-7.47,-34.81,69.8,3.36
277,Orchard Homes,20,us,1535683980,39,46.86,-114.05,62.96,9.17
278,Norman Wells,75,ca,1535684400,54,65.28,-126.83,59.0,6.93
279,Anqing,44,cn,1535689191,82,30.51,117.04,85.13,7.09
280,Omboue,68,ga,1535689191,100,-1.57,9.26,75.5,9.78
281,Badou,88,tg,1535689191,100,7.58,0.61,69.11,1.72
282,Lamu,88,id,1535689192,87,0.57,122.3,79.37,2.95
283,Agadez,88,ne,1535689192,99,16.97,7.99,69.74,3.18
284,Banjar,44,id,1535689192,65,-7.37,108.54,79.46,3.62
285,Nabire,36,id,1535689193,86,-3.36,135.5,76.76,2.73
286,Dalvik,92,se,1535685600,93,57.79,14.13,57.2,9.17
287,Ugoofaaru,80,mv,1535689193,100,5.67,73.0,81.35,9.55
288,Nanganga,0,tz,1535689193,93,-10.41,39.17,63.71,3.51
289,Ucluelet,0,ca,1535689194,80,48.94,-125.55,55.97,2.06
290,Andilamena,92,mg,1535689194,97,-17.01,48.57,56.78,8.1
291,Mackay,75,ca,1535684400,87,53.65,-115.58,47.28,10.29
292,Taltal,8,cl,1535689195,96,-25.41,-70.49,46.25,1.16
293,Fukue,20,jp,1535688000,70,35.03,136.69,90.86,10.29
294,Cairns,0,au,1535688000,50,-16.92,145.77,78.8,10.29
295,Morant Bay,20,jm,1535688000,66,17.88,-76.41,86.0,9.17
296,Celestun,24,mx,1535689196,100,20.87,-90.4,80.27,14.25
297,Penzance,20,gb,1535687400,93,50.12,-5.53,51.8,8.05
298,Anadyr,0,ru,1535686200,63,64.73,177.51,60.8,11.18
299,Rio Grande,92,br,1535689197,98,-32.03,-52.1,60.65,5.97
300,Vostok,12,ru,1535689197,84,46.45,135.83,64.34,3.29
301,Amapa,75,hn,1535688000,88,15.09,-87.97,78.8,12.75
302,Udarnyy,20,ru,1535689197,61,54.34,42.86,66.05,5.75
303,Kurilsk,92,ru,1535689198,93,45.23,147.88,62.0,11.68
304,Acapulco,20,mx,1535687400,83,16.86,-99.88,82.4,2.24
305,Lorengau,20,pg,1535689198,100,-2.02,147.27,83.33,7.2
306,Fare,0,pf,1535689199,100,-16.7,-151.02,77.66,27.34
307,Mopipi,0,bw,1535689199,39,-21.2,24.86,53.99,10.67
308,Santa Cruz Cabralia,0,br,1535688000,88,-16.28,-39.02,69.8,2.24
309,Lillooet,1,ca,1535684400,45,50.69,-121.94,68.0,10.29
310,Soyo,88,ao,1535689200,97,-6.13,12.37,68.39,3.51
311,Talcahuano,75,cl,1535688000,87,-36.72,-73.12,51.8,8.43
312,Ixtapa,75,mx,1535686980,78,20.71,-105.21,82.4,3.36
313,Okhotsk,88,ru,1535689200,95,59.36,143.24,57.5,7.2
314,Dingle,88,ph,1535689201,89,11.0,122.67,82.34,2.51
315,Bambous Virieux,40,mu,1535688000,73,-20.34,57.76,71.6,12.75
316,Thinadhoo,80,mv,1535689201,100,0.53,72.93,82.7,3.18
317,Miyako,75,jp,1535688000,78,33.63,130.94,82.02,9.17
318,Maldonado,90,uy,1535684400,81,-34.91,-54.96,48.2,16.11
319,Fort-Shevchenko,24,kz,1535689202,82,44.51,50.26,69.02,17.16
320,Siparia,20,tt,1535688000,94,10.14,-61.51,78.8,11.23
321,Sovetskiy,64,ru,1535689203,61,56.76,48.47,60.56,13.35
322,Srednekolymsk,8,ru,1535689203,51,67.46,153.71,62.0,4.41
323,Mayo,90,ca,1535688000,93,63.59,-135.9,46.4,4.7
324,Krasnyy Chikoy,68,ru,1535689204,77,50.36,108.75,65.69,3.06
325,Thongwa,75,mm,1535688000,74,16.76,96.52,86.0,6.93
326,Peterhead,20,au,1535688000,76,-34.83,138.5,57.2,13.87
327,Butterworth,75,my,1535688000,62,5.4,100.37,88.72,4.7
328,Greenfield,75,us,1535687760,70,42.59,-72.6,63.99,11.41
329,Gulu,64,ug,1535688938,96,2.77,32.3,63.35,3.18
330,Carballo,0,es,1535686200,93,43.21,-8.69,57.2,2.24
331,Enshi,8,cn,1535689206,78,30.29,109.48,81.53,2.95
332,Isla Mujeres,40,mx,1535687040,100,21.23,-86.73,77.0,3.36
333,Saldanha,0,pt,1535689206,83,41.42,-6.55,55.43,3.62
334,Port Hardy,75,ca,1535684400,67,50.7,-127.42,60.8,10.29
335,Chimore,64,bo,1535689207,92,-16.98,-65.13,69.83,3.74
336,Sitka,12,us,1535689207,31,37.17,-99.65,90.53,20.62
337,Comodoro Rivadavia,0,ar,1535688000,38,-45.87,-67.48,41.0,12.75
338,Zhezkazgan,0,kz,1535684400,45,47.8,67.71,62.6,6.71
339,Abong Mbang,56,cm,1535689208,94,3.98,13.18,68.12,3.18
340,General Pico,92,ar,1535688982,42,-35.66,-63.75,49.4,10.67
341,Brejo da Madre de Deus,92,br,1535689209,94,-8.14,-36.37,63.26,9.44
342,Ilhabela,0,br,1535689209,87,-23.78,-45.36,72.26,16.26
343,Kargasok,92,ru,1535689209,100,59.06,80.87,45.8,10.45
344,Campbell River,75,ca,1535684400,55,50.02,-125.24,66.42,3.36
345,Bolobo,32,cd,1535689210,94,-2.17,16.23,71.18,2.62
346,Bakchar,48,ru,1535689210,79,57.02,82.07,61.01,3.85
347,Mehriz,0,ir,1535684400,17,31.58,54.44,75.2,2.24
348,Paraguari,0,py,1535688000,51,-25.62,-57.15,80.6,10.29
349,Pimentel,12,br,1535689211,67,-3.7,-45.5,79.1,5.86
350,Lubao,75,ph,1535688000,62,14.94,120.6,88.34,4.7
351,Llanes,32,es,1535689212,95,43.42,-4.75,54.08,1.39
352,Belyy Yar,40,ru,1535686200,93,53.6,91.39,59.0,4.47
353,Cap Malheureux,40,mu,1535688000,73,-19.98,57.61,71.6,12.75
354,Umm Kaddadah,48,sd,1535689212,75,13.6,26.69,75.95,7.76
355,Gravdal,0,no,1535687400,87,59.79,5.78,51.8,6.93
356,Gat,100,sn,1535684400,100,14.69,-16.54,77.0,18.28
357,Upernavik,80,gl,1535688908,100,72.79,-56.15,36.35,9.89
358,Privolzhye,76,ru,1535689213,77,52.86,48.6,62.81,2.62
359,Tiarei,40,pf,1535688000,61,-17.53,-149.33,78.8,8.05
360,Port Lincoln,88,au,1535689214,96,-34.72,135.86,57.41,27.78
361,Muros,0,es,1535686200,93,42.77,-9.06,57.2,2.24
362,Weligama,80,lk,1535689214,92,5.97,80.42,78.47,10.78
363,Grand Gaube,40,mu,1535688000,73,-20.01,57.66,71.6,12.75
364,Casino,0,au,1535689215,57,-28.86,153.05,70.1,10.11
365,Liverpool,0,gb,1535685600,87,53.41,-2.98,48.2,5.82
366,Haapiti,40,pf,1535688000,61,-17.57,-149.87,78.8,8.05
367,Kitimat,75,ca,1535684400,72,54.02,-128.69,59.0,18.34
368,San Juan Bautista,68,py,1535689216,96,-26.67,-57.15,68.48,7.76
369,Sorland,40,no,1535687400,81,67.67,12.69,46.4,4.7
370,Terrace Bay,0,ca,1535689217,90,48.78,-87.1,57.05,17.72
371,Kaitangata,80,nz,1535689217,92,-46.28,169.85,46.52,8.32
372,Nizwa,0,om,1535689217,61,22.93,57.53,71.0,1.05
373,Paita,0,pe,1535689218,79,-5.09,-81.11,66.41,7.2
374,Verkhnyaya Inta,0,ru,1535689218,85,65.99,60.32,46.07,2.84
375,Arlit,24,ne,1535689218,66,18.74,7.39,77.03,13.24
376,Gemena,12,cd,1535689218,95,3.25,19.78,69.47,1.95
377,Okha,92,ru,1535689219,100,53.59,142.95,55.52,18.39
